time{s},tank\Tank\level,Control\valvecontrol,Control\count
2.9004225589256,2.60404548664156,1,3
2.96763302828812,2.57636846868168,1,3
3.03484349765064,2.54968503453799,1,3
3.10205396701315,2.52396124661319,1,3
3.16926443637567,2.4991628984823,1,3
3.3036853751007,2.45222585862117,1,3
3.43810631382574,2.40862018936859,1,3
3.57252725255077,2.36809558284554,1,3
3.6950936998868,2.3336399613494,1,3
3.6950936998868,2.3336399613494,1,4
3.69514475139551,2.33362608421097,1,4
3.69524685441295,2.33359833131761,1,4
3.69545106044782,2.33354283202921,1,4
3.69585947251756,2.3334318581535,1,4
3.69667629665704,2.33321000916239,1,4
3.69830994493599,2.33276670587008,1,4
3.70157724149391,2.33188167523881,1,4
3.70811183460974,2.33011789541927,1,4
3.72118102084141,2.32661528385433,1,4
3.73425020707307,2.32313744392247,1,4
3.74731939330473,2.31968420043047,1,4
3.77345776576806,2.31283490117616,1,4
3.79959613823139,2.30607461434841,1,4
3.82573451069472,2.29940855448407,1,4
3.87801125562137,2.28635746050657,1,4
3.98256474547469,2.26133123128326,1,4
4.07120926612279,2.24120235027772,1,4
4.1598537867709,2.22201943122745,1,4
4.248498307419,2.20374144629511,1,4
4.33714282806711,2.18632591044644,1,4
4.51443186936332,2.15394244217436,1,4
4.67399200652991,2.127369479925,1,4
4.6950936998868,2.12402566943268,1,4
4.6950936998868,2.12402566943268,1,5
4.69516105176335,2.12401505557134,1,5
4.69529575551647,2.12399382838897,1,5
4.69556516302269,2.12395138229254,1,5
4.69610397803515,2.1238665150213,1,5
4.69718160806006,2.12369688010682,1,5
4.69933686810987,2.12335800832234,1,5
4.70364738820951,2.1226818531996,1,5
4.71226842840878,2.12133586702562,1,5
4.72951050880732,2.11866895546905,1,5
4.74675258920586,2.1160268714016,1,5
4.7639946696044,2.11340938369292,1,5
4.79847883040148,2.10823142586267,1,5
4.83296299119857,2.10314202862672,1,5
4.86744715199565,2.0981460204982,1,5
4.93641547358981,2.08843019230887,1,5
5.03274915794073,2.07545224718738,1,5
5.12908284229165,2.06313173159007,1,5
5.22541652664257,2.05144034191488,1,5
5.32175021099349,2.04034648880725,1,5
5.51441757969532,2.01985178107287,1,5
5.68781821152698,2.00317146913218,1,5
5.68781887299789,2.0031721306031,0,5
5.68781887299789,2.0031721306031,0,6
5.68784010863168,2.00319336623689,0,6
5.68788257989925,2.00323583750446,0,6
5.6879675224344,2.0033207800396,0,6
5.68813740750469,2.00349066510989,0,6
5.68847717764527,2.00383043525047,0,6
5.68915671792642,2.00450997553163,0,6
5.69051579848874,2.00586905609395,0,6
5.69323395961337,2.00858721721858,0,6
5.69867028186264,2.01402353946785,0,6
5.70954292636118,2.02489618396638,0,6
5.73128821535824,2.04664147296345,0,6
5.77477879335238,2.09013205095759,0,6
5.86175994934065,2.17711320694586,0,6
6.03572226131719,2.3510755189224,0,6
6.38364688527028,2.69900014287549,0,6
6.38364754888383,2.69899983080561,1,6
6.38364754888383,2.69899983080561,1,7
6.38369003067962,2.6989798242586,1,7
6.38377499427119,2.6989398080631,1,7
6.38394492145434,2.69885979299117,1,7
6.38428477582063,2.69869979248272,1,7
6.38496448455321,2.6983799099635,1,7
6.38632390201838,2.69774061856488,1,7
6.38904273694871,2.6964639275238,1,7
6.39448040680938,2.69391809010737,1,7
6.4053557465307,2.68885641612068,1,7
6.41623108625203,2.68382456621106,1,7
6.42710642597336,2.67882236465097,1,7
6.44885710541601,2.66888700333,1,7
6.47060778485866,2.65905922473997,1,7
6.49235846430132,2.64934556180691,1,7
6.53585982318663,2.63026009446252,1,7
6.62286254095725,2.59340619363553,1,7
6.69810233896663,2.56291402101573,1,7
6.77334213697602,2.53364354069589,1,7
6.8485819349854,2.50554907679888,1,7
6.92382173299479,2.47858369193257,1,7
7.07430132901356,2.42788303972187,1,7
7.20973296543045,2.38569004195795,1,7
7.34516460184735,2.34650080767613,1,7
7.38364754888383,2.33588289952098,1,7
7.38364754888383,2.33588289952098,1,8
7.38370761992928,2.33586649728776,1,8
7.38382776202016,2.33583369392711,1,8
7.38406804620192,2.3357680978801,1,8
7.38454861456545,2.33563694013757,1,8
7.3855097512925,2.33537476198655,1,8
7.3874320247466,2.33485095444574,1,8
7.39127657165481,2.33380552981941,1,8
7.39896566547123,2.3317234058242,1,8
7.40665475928764,2.32964997067538,1,8
7.42203294692047,2.32553756689546,1,8
7.43741113455331,2.32145934316643,1,8
7.45278932218614,2.31741501540241,1,8
7.4835456974518,2.30940503961886,1,8
7.51430207271746,2.30151738553147,1,8
7.54505844798313,2.29375894390305,1,8
7.60657119851445,2.27862563307448,1,8
7.68784491514441,2.2593893966728,1,8
7.76911863177437,2.24097875731099,1,8
7.85039234840433,2.22336494704803,1,8
7.93166606503428,2.20651342714384,1,8
8.01293978166424,2.19040223745435,1,8
8.0942134982942,2.1749957954616,1,8
8.17548721492415,2.16025926512514,1,8
8.33803464818407,2.13267965379954,1,8
8.38364754888383,2.12537024241312,1,8
8.38364754888383,2.12537024241312,1,9
8.38372844853403,2.12535743439654,1,9
8.38389024783443,2.12533181903758,1,9
8.38421384643523,2.12528060052177,1,9
8.38486104363683,2.12517819960926,1,9
8.38615543804002,2.12497354215881,1,9
8.38874422684641,2.12456480394252,1,9
8.39392180445918,2.12374962775764,1,9
8.40427695968472,2.1221284247437,1,9
8.41463211491026,2.12051631974042,1,9
8.43534242536134,2.11732809559977,1,9
8.45398170476732,2.11448747289616,1,9
8.47262098417329,2.11167696645793,1,9
8.49126026357927,2.10889462782536,1,9
8.52853882239122,2.10339338645661,1,9
8.56581738120317,2.09799394065182,1,9
8.60309594001512,2.09270131780187,1,9
8.67765305763901,2.08243089037531,1,9
8.75221017526291,2.07256818178667,1,9
8.82676729288681,2.06309792020832,1,9
8.90132441051071,2.05400479865255,1,9
9.05043864575851,2.03689620973351,1,9
9.19955288100631,2.02112911563649,1,9
9.34866711625411,2.00659265951301,1,9
9.34866768507977,2.00659322833867,0,9
9.34866768507977,2.00659322833867,0,10
9.34868894490437,2.00661448816327,0,10
9.34873146455357,2.00665700781248,0,10
9.34881650385197,2.00674204711088,0,10
9.34898658244878,2.00691212570768,0,10
9.34932673964238,2.00725228290128,0,10
9.35000705402959,2.00793259728849,0,10
9.35136768280401,2.00929322606291,0,10
9.35408894035284,2.01201448361175,0,10
9.35953145545051,2.01745699870942,0,10
9.37041648564586,2.02834202890476,0,10
9.39218654603654,2.05011208929544,0,10
9.43572666681791,2.09365221007681,0,10
9.52280690838065,2.18073245163955,0,10
9.69696739150613,2.35489293476503,0,10
10.0452883577571,2.70321390101599,0,10
10.0452890221266,2.70321358706768,1,10
