"time{s}","pos{rev}","velocity{rad/s}","pwm"
3.32,0.378547114810403,0.31779202081652264,0.00418147395811214
3.34,0.37981731243519784,0.39904435266628197,0.005250583587714236
3.36,0.38131202277121223,0.4695771010867685,0.006178646066931164
3.38,0.38312755041389185,0.5703648304631374,0.007504800400830755
3.4,0.3852300620687959,0.6605235169133451,0.00869109890675454
3.42,0.3875315011705839,0.723018417486136,0.009513400230080737
3.44,0.3900844463617851,0.8020313857695341,0.010553044549599133
3.46,0.39299115836753307,0.9131705083359013,0.012015401425472387
3.48,0.39620392112010505,1.0093191861206858,0.013280515606851128
3.5,0.39961337509206146,1.0711115551050796,0.01409357309348789
3.52,0.40324615165780353,1.1412704171068397,0.015016716014563681
3.54,0.4070845010959481,1.20585303967858,0.015866487364191842
3.56,0.41118459499490234,1.2880824871982748,0.01694845377892467
3.58,0.4154547126684315,1.3414970313123091,0.01765127672779354
3.6,0.41992032417117003,1.4029132290789483,0.018459384593144057
3.62,0.42446737288863606,1.4284974846306244,0.01879601953461348
3.64,0.4290103171618573,1.4272080354419654,0.0187790530979206
3.66,0.4336420351784566,1.4550971294448085,0.0191460148611159
3.68,0.43835445293606073,1.4804497007935231,0.019479601326230566
3.7,0.4430217956327117,1.4662889527584517,0.019293275694190155
3.72,0.44764291422454555,1.451767221947241,0.01910220028877949
3.74,0.4521710520801573,1.4225564621631863,0.018717848186357716
3.76,0.456545042804772,1.3741297127319354,0.018080654114893888
3.78,0.46078668292176417,1.332550543071435,0.017533559777255726
3.8,0.46486626743653103,1.281639274129019,0.016863674659592355
3.82,0.46883146789719465,1.2457044637232035,0.016390848206884256
3.84,0.4724986351182937,1.1520745601289877,0.01515887579117089
3.86,0.47585655152629713,1.0549205518752385,0.013880533577305768
3.88,0.4790449874484122,1.0016766869358373,0.01317995640705049
3.9,0.4820159699486359,0.9333616796646477,0.012281074732429575
3.92,0.48466056268206337,0.8308233103072796,0.01093188566193789
3.94,0.48692549387926426,0.711549121001259,0.009362488434227092
3.96,0.4890438226959943,0.6654926248526603,0.008756481905956055
3.98,0.49093679715757993,0.5946954661950662,0.007824940344671924
4,0.4925078515188248,0.493561283967709,0.0064942274206277505
4.02,0.4937278748059486,0.3832816196036574,0.005043179205311282
4.04,0.4948592632985367,0.355436177667077,0.004676791811408908
4.06,0.4958560692749965,0.31315583327005647,0.00412047149039548
4.08,0.4965669157271689,0.2233189991975131,0.002938407884177804
4.1,0.49713705057307084,0.17911314434411685,0.0023567518992646955
4.12,0.49755984732410585,0.1328255167013222,0.0017477041671226604
4.14,0.4979612216983701,0.12609547855277956,0.0016591510335892048
4.16,0.4983422300354388,0.11969729926915239,0.0015749644640677947
4.18,0.49864175439411584,0.09409835247908448,0.001238136216830059
4.2,0.4988475704120322,0.06465900898773688,8.507764340491696E-4
4.22,0.4990475484707758,0.06282496002280867,8.2664421082643E-4
4.24,0.4991947513269778,0.04624514116314635,6.084886995150835E-4
4.26,0.49937010704406914,0.055089623257887646,7.248634639195743E-4
4.28,0.4995252901730928,0.04875221781017013,6.414765501338175E-4
4.3,0.499560319338023,0.011004736720618831,1.4479916737656357E-4
4.32,0.4996100245793593,0.015615362102715668,2.0546529082520617E-4
4.34,0.4997271768717496,0.03680447811246614,4.842694488482387E-4
4.36,0.49976750357833244,0.012669008514419357,1.666974804528863E-4
4.38,0.4998569767454834,0.02810882446147444,3.6985295344045316E-4
4.4,0.4998659639506864,0.0028234137842100956,3.715018137118547E-5
4.42,0.49992336528318615,0.018033160448763432,2.372784269574136E-4
4.44,0.4999904499572318,0.021075271915007434,2.773062094079926E-4
4.46,0.49996915578748174,-0.006689760725073978,-8.802316743518392E-5
4.48,0.49999469691061577,0.008023980480240842,1.0557869052948477E-4
4.5,0.5000296053503699,0.010966809787970473,1.4430012878908517E-4
4.52,0.5000663875114912,0.011555456716183068,1.5204548310767193E-4
4.54,0.500013228646738,-0.016700349898171294,-2.1974144602856962E-4
4.56,0.5000065923804099,-0.0020848445543777275,-2.7432165189180627E-5
4.58,0.5000092606337667,8.38256514380986E-4,1.1029690978697185E-5
4.6,0.5000137897910606,0.0014228767281327286,1.8722062212272746E-5
4.62,0.5000186911291419,0.0015398007708830772,2.0260536458987857E-5
4.64,0.5000236669033806,0.0015631855794331468,2.056823130833088E-5
4.66,0.5000286575648508,0.001567862541143161,2.0629770278199486E-5
4.68,0.5000338624243518,0.0016351548370862647,2.151519522481927E-5
4.7,0.5000404374213265,0.0020655962193357287,2.7178897622838536E-5
4.72,0.5000502411603708,0.0030799354559319573,4.052546652542049E-5
4.74,0.5000656313670181,0.004834976014022046,6.36181054476585E-5
4.76,0.5000894218481771,0.007474000083427228,9.834210636088458E-5
4.78,0.5001248711347567,0.011136721829356603,1.4653581354416584E-4
4.8,0.5001756770452176,0.015961147506275707,2.100150987667856E-4
4.82,0.5002459720215169,0.022083818112619173,2.905765541134102E-4
4.84,0.5002500021837549,0.0012661128079623522,1.6659379052136214E-5
4.86,0.500329517383978,0.02498043688697736,3.286899590391758E-4
4.88,0.5004527644526504,0.03871920855174504,5.094632704176978E-4
4.9,0.5005278128235785,0.02357714107718076,3.102255404892205E-4
4.92,0.5006058458940725,0.024514812100082932,3.2256331710635435E-4
